registration,model_code,model_text,country_code,production_date,owner_icao
5N-PAZ,CL60,Bombardier Challenger 601-3R,NG,1995-01-01,
5R-EJA,AT76,ATR 72-600,MG,2015-03-01,MDG
5R-HMR,C56X,Cessna 560XL Citation Excel,MG,2001-01-01,
5X-EQU,CRJ9,Mitsubishi CRJ-900,UG,2019-03-01,UGD
5X-KDP,CRJ9,Mitsubishi CRJ-900,UG,2019-07-01,UGD
5X-KNP,CRJ9,Mitsubishi CRJ-900,UG,2019-09-01,UGD
5X-KOB,CRJ9,Mitsubishi CRJ-900,UG,2019-02-01,UGD
5Y-BIX,F406,Cessna F406 Caravan II,KE,1990-01-01,
5Y-BNG,C208,Cessna 208B Grand Caravan,KE,,
5Y-CYA,B738,Boeing 737-8HX,KE,2014-09-01,KQA
5Y-CYB,B738,Boeing 737-8HX,KE,2014-11-01,KQA
5Y-CYC,B738,Boeing 737-86N,KE,2015-01-01,KQA
5Y-CYD,B738,Boeing 737-8HX,KE,2015-04-01,KQA
5Y-FFA,E190,Embraer E190AR,KE,2012-01-01,KQA
5Y-FFB,E190,Embraer E190AR,KE,2012-08-01,KQA
5Y-FFC,E190,Embraer E190AR,KE,2012-09-01,KQA
5Y-FFE,E190,Embraer E190AR,KE,2012-11-01,KQA
5Y-FFG,E190,Embraer E190AR,KE,2013-01-01,KQA
5Y-FFH,E190,Embraer E190AR,KE,2013-01-01,KQA
5Y-FFJ,E190,Embraer E190AR,KE,2013-01-01,KQA
5Y-FFK,E190,Embraer E190AR,KE,2013-01-01,KQA
5Y-FFL,E190,Embraer E190LR,KE,2011-01-01,
5Y-FFM,E190,Embraer E190LR,KE,2011-01-01,KQA
5Y-KYD,B738,Boeing 737-86N,KE,2008-07-01,KQA
5Y-KYF,B738,Boeing 737-86N,KE,2009-02-01,KQA
5Y-KYP,E190,Embraer E190AR,KE,2010-01-01,KQA
5Y-KYQ,E190,Embraer E190AR,KE,2011-05-01,KQA
5Y-KYS,E190,Embraer E190AR,KE,2011-09-01,KQA
5Y-KZG,B788,Boeing 787-8 Dreamliner,KE,2015-03-01,KQA
5Y-PNI,B752,Boeing 757-2B6(PCF),KE,1986-07-01,ACP
5Y-SHJ,B752,Boeing 757-232(PCF),KE,1984-11-01,ACP
5Y-SNL,B762,Boeing 767-232(BDSF),KE,1982-12-01,ACP
7Q-MAG,GLF4,Gulfstream IV-SP,,1996-01-01,
7T-VCD,B738,Boeing 737-8ZQ,DZ,2011-09-01,DTH
7T-VCL,DH8D,De Havilland Canada Dash 8-400,DZ,2007-05-01,DTH
7T-VCM,DH8D,De Havilland Canada Dash 8-400,DZ,2007-05-01,DTH
7T-VCN,DH8D,De Havilland Canada Dash 8-400,DZ,2007-06-01,DTH
7T-VCP,DH8B,De Havilland Canada Dash 8-200,DZ,2008-05-01,DTH
7T-VJJ,B738,Boeing 737-8D6(BCF),DZ,2000-07-01,DAH
7T-VJN,B738,Boeing 737-8D6,DZ,2001-01-01,DAH
7T-VJR,B736,Boeing 737-6D6,DZ,2002-04-01,DAH
7T-VJS,B736,Boeing 737-6D6,DZ,2002-05-01,DAH
7T-VJU,B736,Boeing 737-6D6,DZ,2002-06-01,DAH
7T-VJW,A332,Airbus A330-202,DZ,2005-01-01,DAH
7T-VJZ,A332,Airbus A330-202,DZ,2005-04-01,DAH
7T-VKD,B738,Boeing 737-8D6,DZ,2010-09-01,DAH
7T-VKE,B738,Boeing 737-8D6,DZ,2010-10-01,DAH
7T-VKG,B738,Boeing 737-8D6,DZ,2011-03-01,DAH
7T-VKK,B738,,DZ,,DAH
7T-VKP,B738,Boeing 737-8D6,DZ,2016-10-01,DAH
7T-VKQ,B738,Boeing 737-8D6,DZ,2016-10-01,DAH
7T-VKR,B738,Boeing 737-8D6,DZ,2016-12-01,DAH
7T-VKS,B737,Boeing 737-7D6C,DZ,2016-05-01,DAH
7T-VKT,B737,Boeing 737-7D6C,DZ,2016-09-01,DAH
7T-VUT,AT76,ATR 72-600,DZ,2014-12-01,DAH
7T-VUV,AT76,ATR 72-600,DZ,2015-06-01,DAH
8Q-IAO,DH8C,De Havilland Canada Dash 8-300,MV,2000-03-01,DQA
8Q-IAP,DH8C,De Havilland Canada Dash 8-300,MV,1997-11-01,DQA
8Q-IAQ,DH8B,De Havilland Canada Dash 8-200,MV,1999-09-01,DQA
8Q-IAR,DH8C,De Havilland Canada Dash 8-300,MV,2002-10-01,DQA
8Q-IAT,DH8C,De Havilland Canada Dash 8-300,MV,1997-12-01,DQA
8Q-MBC,DHC6,De Havilland Canada DHC-6-300 Twin Otter,MV,,TMW
8Q-RAX,AT76,ATR 72-600,MV,2018-10-01,MAV
8Q-RAY,AT76,ATR 72-600,MV,2018-09-01,MAV
8Q-RAZ,AT76,ATR 72-600,MV,2018-01-01,MAV
8R-EAR,B190,Beech 1900D,,1999-01-01,TGY
8R-GAB,C208,Cessna 208B Grand Caravan,GY,2004-01-01,TGY
8R-GAD,C208,Cessna 208B Grand Caravan,,2007-01-01,TGY
8R-GAE,C208,Cessna 208B Grand Caravan,,2007-01-01,TGY
8R-GAH,C208,Cessna 208B Grand Caravan,GY,,TGY
8R-GAI,C208,Cessna Grand Caravan EX,GY,,TGY
8R-GAQ,B190,Beech 1900D,,1999-01-01,TGY
8R-GCC,C208,Cessna 208B Grand Caravan,,2019-01-01,TGY
8R-GHR,C208,Cessna 208B Grand Caravan,GY,1996-01-01,TGY
8R-GHT,C208,Cessna 208B Grand Caravan,GY,1996-01-01,TGY
8R-GHU,B190,Beechcraft 1900D,,2002-01-01,TGY
8R-GRF,TRIS,Britten-Norman BN-2A MkIII-2 Trislander,GY,1976-01-01,
8R-GTG,C208,Cessna 208B Grand Caravan,GY,1994-01-01,TGY
9A-BTG,A320,Airbus A320-212,HR,1998-02-01,TDR
9A-BTH,A320,Airbus A320-214,HR,2001-04-01,TDR
9A-CQA,DH8D,De Havilland Canada Dash 8-400,HR,2008-03-01,CTN
9A-CQB,DH8D,De Havilland Canada Dash 8-400,HR,2008-04-01,CTN
9A-CQC,DH8D,De Havilland Canada Dash 8-400,HR,2009-04-01,CTN
9A-CQD,DH8D,De Havilland Canada Dash 8-400,HR,2009-05-01,CTN
9A-CQE,DH8D,De Havilland Canada Dash 8-400,HR,2010-01-01,CTN
9A-CQF,DH8D,De Havilland Canada Dash 8-400,HR,2010-02-01,CTN
9A-CTI,A319,Airbus A319-112,HR,1999-05-01,CTN
9A-CTL,A319,Airbus A319-112,HR,2000-06-01,CTN
9A-CTN,A319,Airbus A319-112,HR,2012-03-01,CTN
9A-CTO,A320,Airbus A320-214,HR,2004-02-01,CTN
9A-IRM,A320,Airbus A320-214,HR,2009-07-01,SDR
9A-KOR,B738,Boeing 737-8GJ,HR,2006-12-01,EZZ
9A-LAB,B738,Boeing 737-8K5,HR,2001-01-01,EZZ
9H-AEP,A320,Airbus A320-214,MT,2007-02-01,AMC
9H-AEQ,A320,Airbus A320-214,MT,2007-02-01,AMC
9H-AFX,E550,Embraer Legacy 500,MT,2015-01-01,FJO
9H-AHQ,A333,Airbus A330-343,MT,,GJM
9H-AHS,A320,Airbus A320-214,MT,2012-03-01,AMC
9H-ALE,DH8D,De Havilland Canada Dash 8-400,MT,2010-07-01,LWG
9H-ALM,DH8A,De Havilland Canada Dash 8-100,MT,1997-01-01,UVL
9H-AMB,A320,Airbus A320-212,MT,1995-02-01,
9H-AMG,A321,Airbus A321-211,MT,2003-12-01,MLH
9H-AMH,A320,Airbus A320-232,MT,2004-02-01,MLH
9H-AMI,A320,Airbus A320-232,MT,2008-01-01,MLH
9H-AMJ,A320,Airbus A320-232,MT,2008-06-01,MLH
9H-AMK,A320,Airbus A320-232,MT,2008-07-01,MLH
9H-AML,A320,Airbus A320-232,MT,2005-10-01,MLH
9H-AMV,A320,Airbus A320-214,MT,2006-09-01,MLH
9H-AMX,A320,Airbus A320-232,MT,2010-09-01,MLH
9H-AMY,CRJ2,Mitsubishi Challenger 850,MT,2005-01-01,AXY
9H-AZB,B744,Boeing 747-428,MT,2003-04-01,AAE
9H-BEL,DH8D,De Havilland Canada Dash 8-400,MT,2009-01-01,LWG
9H-BFS,A332,Airbus A330-203,MT,2002-04-01,MLT
9H-BOO,CRJ2,Mitsubishi Challenger 850,MT,2005-11-01,AXY
9H-CFS,A332,Airbus A330-223,MT,2008-11-01,MLT
9H-CXA,B738,Boeing 737-85R,MT,2014-08-01,CXI
9H-CXB,B738,Boeing 737-85R,MT,2014-06-01,CXI
9H-CXC,B738,Boeing 737-8JP,MT,2013-01-01,CXI
9H-CXD,B738,Boeing 737-8GP,MT,2014-12-01,CXI
9H-CXE,B738,Boeing 737-8GP,MT,2016-11-01,CXI
9H-CXF,B738,Boeing 737-8KN,MT,2014-01-01,CXI
9H-CXG,B738,Boeing 737-8K5(WL),MT,2011-03-01,CXI
9H-CXH,B738,Boeing 737-8ME,MT,2018-05-01,CXI
9H-DOM,CRJ2,Mitsubishi Challenger 850,MT,2006-12-01,AXY
9H-EAL,A346,Airbus A340-642,MT,2004-12-01,MLT
9H-EMU,A320,Airbus A320-233,MT,2003-09-01,GJM
9H-EUL,A320,Airbus A320-214,MT,2007-03-01,EWL
9H-EUR,A320,Airbus A320-214,MT,2009-05-01,EWL
9H-EUW,A320,Airbus A320-214,MT,2011-02-01,EWL
9H-EVA,DH8D,De Havilland Canada Dash 8-400,MT,2009-01-01,SWU
9H-EWC,A320,Airbus A320-214,MT,2016-02-01,EWL
9H-EWH,A320,Airbus A320-214,MT,2016-05-01,EWL
9H-FCM,E190,Embraer Lineage 1000,MT,2013-11-01,AXY
9H-FHA,A320,Airbus A320-214,MT,2010-01-01,FHM
9H-IBJ,A320,Airbus A320-232,MT,2007-09-01,LDA
9H-IHD,A320,Airbus A320-232,MT,2007-09-01,LDA
9H-IHH,A320,Airbus A320-232,MT,2005-07-01,LDA
9H-IHL,A320,Airbus A320-232,MT,2007-03-01,LDA
9H-JAD,CRJ2,Mitsubishi Challenger 850,MT,2007-01-01,AXY
9H-JAI,A343,Airbus A340-313,MT,1998-09-01,HFM
9H-JOY,CRJ2,Mitsubishi CRJ-200ER,MT,2002-04-01,AXY
9H-JPC,E35L,Embraer Legacy 600,MT,2007-09-01,AXY
9H-KFX,E550,Embraer Praetor 600,MT,2022-01-01,FJO
9H-LAJ,A320,Airbus A320-232,MT,2004-09-01,LDA
9H-LAR,G150,Gulfstream G150,MT,2007-01-01,LWG
9H-LAX,A320,Airbus A320-214,MT,2007-09-01,LDA
9H-LEON,A333,Airbus A330-302,MT,2006-06-01,GJM
9H-LFS,A332,Airbus A330-203,MT,2007-09-01,MLT
9H-LIV,A319,Airbus A319-115(CJ),MT,2008-05-01,MLM
9H-LMB,A320,Airbus A320-232,MT,2006-07-01,LDA
9H-LMC,A320,Airbus A320-214,MT,2007-02-01,LDA
9H-LMG,A320,Airbus A320-232,MT,2011-01-01,LDA
9H-LMH,A320,Airbus A320-214,MT,2012-01-01,LDA
9H-LMI,A320,Airbus A320-214,MT,2012-03-01,LDA
9H-LMJ,A320,Airbus A320-214,MT,2012-05-01,LDA
9H-LMP,A320,Airbus A320-214,MT,2008-09-01,LDA
9H-LMT,A320,Airbus A320-214,MT,2006-01-01,LDA
9H-LOA,A320,Airbus A320-214,MT,2007-05-01,LDA
9H-LOB,A320,Airbus A320-232,MT,2006-10-01,LDA
9H-LOI,A320,Airbus A320-214,MT,2006-12-01,LDA
9H-LOJ,CRJX,Mitsubishi CRJ-1000,MT,2011-10-01,
9H-LOM,A320,Airbus A320-232,MT,2006-11-01,LDA
9H-LON,A320,Airbus A320-214,MT,2007-02-01,LDA
9H-LOO,A320,Airbus A320-214,MT,2007-01-01,LDA
9H-LOP,A320,Airbus A320-232,MT,2001-08-01,LDA
9H-LOQ,A320,Airbus A320-214,MT,2007-04-01,LDA
9H-LOR,A320,Airbus A320-214,MT,2007-07-01,LDA
9H-LOS,A320,Airbus A320-214,MT,2007-05-01,LDA
9H-LOT,A320,Airbus A320-232,MT,2005-08-01,LDA
9H-LOU,A320,Airbus A320-214,MT,2007-04-01,LDA
9H-LOW,A320,Airbus A320-233,MT,2004-07-01,LDA
9H-LOY,A320,Airbus A320-232,MT,2004-01-01,LDA
9H-LOZ,A320,Airbus A320-232,MT,2006-06-01,LDA
9H-MFS,A332,Airbus A330-203,MT,2005-10-01,MLT
9H-MLB,A320,Airbus A320-232,MT,2010-11-01,MLH
9H-MLC,A320,Airbus A320-232,MT,2011-03-01,MLH
9H-MLP,A320,Airbus A320-232,MT,2009-11-01,MLH
9H-MLR,A320,Airbus A320-214,MT,2010-03-01,MLH
9H-MMO,A320,Airbus A320-232,MT,2008-07-01,MMO
9H-MSK,B744,Boeing 747-4H6(BDSF),MT,1994-09-01,EAU
9H-MSS,LJ45,Learjet 45,MT,1999-11-01,HYP
9H-NEB,A20N,Airbus A320-251N,MT,2019-07-01,AMC
9H-NEC,A20N,Airbus A320-251N,MT,2019-09-01,AMC
9H-NED,A20N,Airbus A320-251N,MT,2020-07-01,AMC
9H-NEO,A20N,Airbus A320-251N,MT,2018-05-01,AMC
9H-NYC,E190,Embraer Lineage 1000,MT,2010-01-01,AXY
9H-PPE,A346,Airbus A340-642,MT,2006-11-01,MLT
9H-QAA,B738,Boeing 737-8AS,MT,2017-04-01,MAY
9H-QAB,B738,Boeing 737-8AS,MT,2017-04-01,MAY
9H-QAC,B738,Boeing 737-8AS,MT,2017-04-01,MAY
9H-QAD,B738,Boeing 737-8AS,MT,2017-12-01,MAY
9H-QAE,B738,Boeing 737-8AS,MT,2018-01-01,MAY
9H-QAF,B738,Boeing 737-8AS,MT,2018-01-01,MAY
9H-QAG,B738,Boeing 737-8AS,MT,2018-01-01,MAY
9H-QAH,B738,Boeing 737-8AS,MT,2018-01-01,MAY
9H-QAI,B738,Boeing 737-8AS,MT,2018-01-01,MAY
9H-QAJ,B738,Boeing 737-8AS,MT,2018-01-01,MAY
9H-QAK,B738,Boeing 737-8AS,MT,2017-05-01,MAY
9H-QAL,B738,Boeing 737-8AS,MT,2017-04-01,MAY
9H-QAM,B738,Boeing 737-8AS,MT,2017-05-01,MAY
9H-QAN,B738,Boeing 737-8AS,MT,2017-05-01,MAY
9H-QAO,B738,Boeing 737-8AS,MT,2015-01-01,MAY
9H-QAP,B738,Boeing 737-8AS,MT,2014-10-01,MAY
9H-QAQ,B738,Boeing 737-8AS,MT,2018-02-01,MAY
9H-QAR,B738,Boeing 737-8AS,MT,2015-01-01,MAY
9H-QAS,B738,Boeing 737-8AS,MT,2015-02-01,MAY
9H-QAT,B738,Boeing 737-8AS,MT,2015-02-01,MAY
9H-QAU,B738,Boeing 737-8AS,MT,2017-09-01,MAY
9H-QAV,B738,Boeing 737-8AS,MT,2015-03-01,MAY
9H-QAW,B738,Boeing 737-8AS,MT,2015-03-01,MAY
9H-QAX,B738,Boeing 737-8AS,MT,2015-04-01,MAY
9H-QAY,B738,Boeing 737-8AS,MT,2015-04-01,MAY
9H-QAZ,B738,Boeing 737-8AS,MT,2015-05-01,MAY
9H-QBA,B738,Boeing 737-8AS,MT,2017-09-01,MAY
9H-QBB,B738,Boeing 737-8AS,MT,2015-05-01,MAY
9H-QBC,B738,Boeing 737-8AS,MT,2017-09-01,MAY
9H-QBD,B738,Boeing 737-8AS,MT,2015-06-01,MAY
9H-QBE,B738,Boeing 737-8AS,MT,2015-06-01,MAY
9H-QBF,B738,Boeing 737-8AS,MT,2017-09-01,MAY
9H-QBG,B738,Boeing 737-8AS,MT,2017-09-01,MAY
9H-QBH,B738,Boeing 737-8AS,MT,2015-08-01,MAY
9H-QBI,B738,Boeing 737-8AS,MT,2015-09-01,MAY
9H-QBJ,B738,Boeing 737-8AS,MT,2015-10-01,MAY
9H-QBK,B738,Boeing 737-8AS,MT,2015-10-01,MAY
9H-QBL,B738,Boeing 737-8AS,MT,2015-11-01,MAY
9H-QBM,B738,Boeing 737-8AS,MT,2015-11-01,MAY
9H-QBN,B738,Boeing 737-8AS,MT,2015-11-01,MAY
9H-QBO,B738,Boeing 737-8AS,MT,2015-12-01,MAY
9H-QBP,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBQ,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBR,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBS,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBT,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBU,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBV,B738,Boeing 737-8AS,MT,2016-01-01,MAY
9H-QBW,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QBX,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QBY,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QBZ,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QCA,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QCB,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QCC,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QCD,B738,Boeing 737-8AS,MT,2016-02-01,MAY
9H-QCE,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCF,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCG,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCH,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCI,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCJ,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCK,B738,Boeing 737-8AS,MT,2016-04-01,MAY
9H-QCL,B738,Boeing 737-8AS,MT,2016-03-01,MAY
9H-QCM,B738,Boeing 737-8AS,MT,2016-04-01,MAY
9H-QCN,B738,Boeing 737-8AS,MT,2018-04-01,MAY
9H-QCO,B738,Boeing 737-8AS,MT,2016-04-01,MAY
9H-QCP,B738,Boeing 737-8AS,MT,2016-04-01,MAY
9H-QCQ,B738,Boeing 737-8AS,MT,2016-04-01,MAY
9H-QCR,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCS,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCT,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCU,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCV,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCW,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCX,B738,Boeing 737-8AS,MT,2016-05-01,MAY
9H-QCY,B738,Boeing 737-8AS,MT,2016-08-01,MAY
9H-QCZ,B738,Boeing 737-8AS,MT,2016-09-01,MAY
9H-QDA,B738,Boeing 737-8AS,MT,2016-09-01,MAY
9H-QDB,B738,Boeing 737-8AS,MT,2016-09-01,MAY
9H-QDC,B738,Boeing 737-8AS,MT,2016-09-01,MAY
9H-QDD,B738,Boeing 737-8AS,MT,2016-09-01,MAY
9H-QDE,B738,Boeing 737-8AS,MT,2016-10-01,MAY
9H-QDF,B738,Boeing 737-8AS,MT,2016-10-01,MAY
9H-QDG,B738,Boeing 737-8AS,MT,2016-10-01,MAY
9H-QDH,B738,Boeing 737-8AS,MT,2016-10-01,MAY
9H-QDI,B738,Boeing 737-8AS,MT,2016-11-01,MAY
